participant_no,avg_rwa,intro_elapse_t,test_elapse_t,survey_elapse_t,country_ip,education_level,urban_classification,gender,english_native,age,handedness,religion,sexual_preference,race,voted,married,family_size,survey_accurate,major
4987,5,19,235,263,NA,graduate degree,suburban,male,yes,70,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,civil engineering
4988,5.25,18,199,137,NA,graduate degree,suburban,male,yes,59,left,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,earth sciences
4989,4.75,4,114,105,NA,university degree,suburban,male,yes,28,right,other,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,forestry science
4990,5.05,43,158,101,NA,high school,suburban,male,yes,18,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
4991,5.25,10,216,265,NA,university degree,suburban,male,yes,46,right,atheist,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,art history
4992,4.75,4,248,274,NA,graduate degree,suburban,male,yes,51,right,atheist,heterosexual,NA,yes,currently married,5,TRUE,biochemistry
4993,5.35,53,1311,220,NA,graduate degree,urban,male,yes,43,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,5,TRUE,history
4994,5.5,8,250,127,NA,graduate degree,urban,male,yes,39,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,law
4995,4.95,2,168,193,NA,graduate degree,suburban,male,yes,49,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,computer science
4996,5.95,39,189,172,NA,high school,rural,male,yes,50,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,liberal arts
4997,5.3,22,396,210,NA,graduate degree,suburban,male,yes,49,left,christian (protestant),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,physics
4998,5.2,9,150,118,NA,graduate degree,urban,male,yes,45,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,political science
4999,5.05,53,242,182,NA,graduate degree,urban,female,yes,35,right,atheist,heterosexual,other,yes,never married,2,TRUE,psychology
5000,5.7,35,218,182,NA,graduate degree,rural,male,yes,44,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,mathematics
5001,5.4,16,133,126,NA,university degree,suburban,female,yes,34,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,business
5002,5.55,3434,792,191,NA,graduate degree,NA,female,yes,55,right,muslim,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,NA
5003,5.1,3,268,194,NA,high school,urban,male,no,38,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,history
5004,5.3,4,180,274,NA,graduate degree,rural,male,yes,69,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,business
5005,5,6,100,89,NA,less than high school,suburban,male,yes,32,right,atheist,asexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
5006,5.05,38,188,152,NA,university degree,urban,male,yes,62,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,computer science & economics
5007,3.55,6000,243,286,NA,high school,urban,male,yes,22,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
5008,5.35,8,106,132,NA,graduate degree,suburban,female,yes,58,left,buddhist,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,social work
5009,4.9,8,260,163,NA,university degree,suburban,male,yes,53,left,christian (protestant),heterosexual,white or indigenous australian or native american,NA,currently married,5,TRUE,electrical engineering
5010,5.15,16,694,275,NA,graduate degree,suburban,male,yes,30,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,physics
5011,4.55,11,1719,191,NA,university degree,suburban,male,yes,36,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,political science
5012,5.15,31,142,124,NA,university degree,suburban,female,yes,58,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,statistics and computer science
5013,5.3,49,447,370,NA,graduate degree,urban,male,no,42,right,atheist,homosexual,asian,no,never married,2,TRUE,art
5014,5.15,54,208,192,NA,graduate degree,urban,male,yes,42,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,philosophy
5015,5.4,9,263,219,NA,graduate degree,suburban,male,yes,36,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,computer science
5016,4.85,60,173,133,NA,university degree,suburban,male,yes,26,right,jewish,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,anthropology
5017,5.3,8,248,111,NA,university degree,rural,female,yes,51,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,electrical engineering
5018,4.95,4,155,114,NA,graduate degree,suburban,male,yes,32,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,history
5019,6.25,3,215,174,NA,graduate degree,suburban,male,yes,50,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,philosophy
5020,6.05,4,188,143,NA,graduate degree,urban,male,yes,25,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,history
5021,5.2,3,219,122,NA,university degree,suburban,male,yes,26,right,other,heterosexual,other,no,currently married,4,TRUE,international studies
5022,5.1,55,460,211,NA,graduate degree,suburban,male,yes,63,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,psychology
5023,5.3,5,255,220,NA,graduate degree,urban,male,yes,67,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,mechanical engineering
5024,5.7,40,283,175,NA,university degree,suburban,male,yes,37,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,business
5025,4.55,46,250,370,NA,university degree,urban,female,yes,60,right,other,heterosexual,white or indigenous australian or native american,yes,previously married,3,TRUE,nursing
5026,5,3,168,99,NA,graduate degree,urban,female,yes,27,right,agnostic,bisexual,white or indigenous australian or native american,yes,never married,1,TRUE,library science
5027,4.35,2,225,165,NA,university degree,urban,male,yes,38,right,atheist,homosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,history
5028,5,25,408,187,NA,high school,suburban,female,yes,55,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,NA
5029,3.8,4,289,167,NA,graduate degree,suburban,female,yes,45,right,christian (other),heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,mathematics
5030,5.2,36,224,253,NA,university degree,suburban,male,yes,54,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,english
5031,4.95,4,241,135,NA,graduate degree,suburban,male,yes,26,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,engineering
5032,5.5,245,235,163,NA,graduate degree,suburban,male,yes,26,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,architectur
5033,5.7,6,151,168,NA,university degree,suburban,female,yes,72,right,other,homosexual,white or indigenous australian or native american,no,never married,0,TRUE,english
5034,4.05,30,247,152,NA,university degree,suburban,female,yes,45,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,anthropology
5035,5.2,36,161,126,NA,graduate degree,urban,female,yes,37,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,psychology
5036,5.3,5,230,231,NA,university degree,suburban,female,yes,58,right,agnostic,bisexual,white or indigenous australian or native american,yes,currently married,3,TRUE,business administration
5037,4.65,8,161,155,NA,university degree,urban,male,yes,68,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,electronics engineering
5038,5.05,86,648,341,NA,university degree,suburban,male,yes,48,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,science
5039,4.65,1,114,89,NA,university degree,suburban,female,yes,35,right,agnostic,heterosexual,other,no,previously married,2,TRUE,political science
5040,5.9,52,286,135,NA,graduate degree,rural,male,yes,31,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,law
5041,5.45,6,124,131,NA,graduate degree,suburban,female,yes,62,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,art
5042,5.1,2,139,109,NA,graduate degree,urban,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,english
5043,5.8,14,126,122,NA,graduate degree,urban,male,yes,57,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,6,TRUE,economics
5044,6.15,39,190,128,NA,university degree,rural,female,yes,27,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,8,TRUE,biology
5045,4.85,56,463,1315,NA,high school,suburban,male,yes,53,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,9,TRUE,NA
5046,5.25,6,233,157,NA,university degree,rural,male,yes,34,right,atheist,other,white or indigenous australian or native american,no,never married,2,TRUE,anthropolgy
5047,5.05,5,146,166,NA,graduate degree,rural,male,yes,61,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,bio
5048,5.05,48,257,287,NA,university degree,suburban,male,yes,35,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,3,TRUE,latin
5049,4.95,9,381,120,NA,university degree,suburban,female,yes,50,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,political science
5050,5.2,14,206,144,NA,university degree,suburban,male,yes,61,left,jewish,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,music
5051,5.05,20,207,126,NA,graduate degree,urban,female,yes,34,right,other,bisexual,white or indigenous australian or native american,no,currently married,1,TRUE,accounting
5052,4.65,4,149,136,NA,graduate degree,urban,male,yes,39,right,jewish,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,philosophy
5053,6.15,2,235,2593,NA,graduate degree,urban,male,yes,22,left,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,11,TRUE,NA
5054,5.35,5,134,972,NA,university degree,suburban,male,yes,44,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,political science
5055,3.95,2,247,170,NA,high school,urban,male,yes,50,right,christian (protestant),heterosexual,NA,yes,currently married,2,TRUE,NA
5056,5.15,6,79,96,NA,university degree,rural,male,yes,40,right,atheist,bisexual,white or indigenous australian or native american,no,currently married,3,TRUE,chemistry
5057,4.75,15,218,159,NA,university degree,urban,male,yes,62,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,history
5058,4.85,103,163,137,NA,graduate degree,suburban,male,yes,29,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,physics
5059,4.65,25,145,109,NA,university degree,urban,female,yes,25,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,art
5060,5.1,12,168,229,NA,graduate degree,suburban,female,yes,63,right,agnostic,homosexual,white or indigenous australian or native american,no,previously married,4,TRUE,antrhopology
5061,5.15,34,210,223,NA,graduate degree,suburban,male,yes,50,right,atheist,homosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,geography
5062,5.45,3,235,122,NA,graduate degree,urban,male,yes,45,right,christian (mormon),heterosexual,white or indigenous australian or native american,no,currently married,6,TRUE,sociology
5063,5.45,11,200,136,NA,graduate degree,urban,male,yes,39,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,philosophy
5064,5.25,12,163,128,NA,university degree,urban,female,yes,25,left,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,anthropology
5065,6.55,11,307,235,NA,university degree,rural,female,yes,41,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,nursin
5066,5.3,31,245,248,NA,university degree,rural,female,yes,64,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,5,TRUE,communications
5067,5.25,35,272,205,NA,university degree,suburban,male,yes,55,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,english
5068,5.1,8,435,225,NA,graduate degree,rural,female,yes,62,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,chemistry
5069,5.1,2,180,80,NA,less than high school,suburban,female,yes,15,right,agnostic,homosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
5070,4.6,42,331,260,NA,NA,rural,male,yes,23,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,5,TRUE,NA
5071,5.45,10,202,181,NA,graduate degree,rural,female,yes,30,left,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,law
5072,5.4,3,148,118,NA,university degree,suburban,male,yes,57,right,agnostic,heterosexual,white or indigenous australian or native american,no,previously married,4,TRUE,journalism
5073,5.45,16,747,267,NA,graduate degree,urban,female,yes,44,right,agnostic,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,political science
5074,4.9,735,149,6,NA,high school,urban,male,no,17,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,army officer/general
5075,4.95,7,180,145,NA,graduate degree,suburban,female,yes,34,right,jewish,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,economics and psychology
5076,5.65,40,462,237,NA,university degree,suburban,female,yes,26,right,agnostic,homosexual,other,yes,never married,2,TRUE,biology
5077,4.95,25,224,92,NA,high school,suburban,male,yes,40,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
5078,4.95,5,448,156,NA,university degree,rural,male,yes,24,right,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,political science
5079,4.9,24,209,154,NA,university degree,urban,female,yes,27,right,atheist,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,geology
5080,5.4,3,221,143,NA,high school,urban,female,yes,18,right,agnostic,bisexual,other,no,never married,1,TRUE,animal sciences
5081,5.25,23,154,191,NA,graduate degree,suburban,male,yes,43,left,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,law
5082,5.1,6,173,115,NA,graduate degree,suburban,female,yes,28,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,psychology
5083,4.95,1288,133,73,NA,university degree,urban,female,yes,17,right,christian (protestant),asexual,white or indigenous australian or native american,no,never married,2,TRUE,psychology
5084,5.1,925,572,172,NA,high school,urban,male,no,21,right,muslim,heterosexual,black,no,never married,3,TRUE,dentistry
5085,4.75,6,285,144,NA,graduate degree,suburban,male,yes,43,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,politics
5086,4.45,9,482,135,NA,high school,rural,female,yes,18,left,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,mathematics
5087,4.95,24,90,101,NA,less than high school,urban,female,no,16,right,christian (catholic),heterosexual,other,no,never married,1,TRUE,NA
5088,5.3,30,390,235,NA,high school,urban,male,yes,47,right,agnostic,heterosexual,white or indigenous australian or native american,NA,currently married,2,TRUE,NA
5089,5.5,3,208,189,NA,university degree,rural,male,yes,54,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,8,TRUE,poly sci
5090,4.55,9,182,111,NA,NA,urban,female,no,17,right,atheist,heterosexual,white or indigenous australian or native american,NA,never married,2,TRUE,NA
5091,4.75,17,555,193,NA,university degree,suburban,female,yes,20,right,atheist,asexual,NA,no,never married,3,TRUE,biology
5092,5.45,8,187,185,NA,graduate degree,rural,male,yes,48,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,biology
5093,4.9,32907,272,254,NA,graduate degree,suburban,male,yes,48,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,media communications
5094,5.5,21,258,165,NA,graduate degree,rural,female,yes,53,right,agnostic,bisexual,white or indigenous australian or native american,yes,currently married,2,TRUE,"psychology, physiology"
5095,5.25,7,129,99,NA,high school,urban,female,yes,41,right,atheist,homosexual,white or indigenous australian or native american,no,currently married,3,TRUE,NA
5096,5,9,139,134,NA,university degree,suburban,male,yes,32,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,political science
5097,5.55,3,153,128,NA,graduate degree,suburban,male,yes,52,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,area studies
5098,4.65,27,248,129,NA,graduate degree,rural,female,yes,39,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,healthcare
5099,4.85,3,262,209,NA,university degree,NA,male,yes,59,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,NA
5100,5.05,31,190,154,NA,university degree,suburban,male,yes,31,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,aerospace engineering
5101,5.05,1253,104,95,NA,university degree,suburban,female,yes,33,right,other,bisexual,other,yes,currently married,2,TRUE,liberal arts
5102,4.85,6,294,176,NA,less than high school,rural,female,yes,17,left,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
5103,5.05,12,104,2239,NA,university degree,suburban,female,yes,51,right,atheist,bisexual,white or indigenous australian or native american,yes,currently married,2,TRUE,systems
5104,3.45,10,285,130,NA,less than high school,rural,male,yes,14,right,atheist,heterosexual,other,no,never married,2,TRUE,NA
5105,5,3,155,131,NA,university degree,suburban,female,yes,54,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,mechanical engineering
5106,4.7,2,807,150,NA,graduate degree,rural,female,yes,46,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,6,TRUE,english
5107,5.4,28,196,151,NA,graduate degree,suburban,male,yes,50,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,business
5108,3.65,20,163,83,NA,university degree,urban,male,no,19,left,jewish,heterosexual,white or indigenous australian or native american,no,never married,1,TRUE,psychology
5109,5,7,182,198,NA,university degree,rural,male,yes,61,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,journalism
5110,4.6,29,242,153,NA,high school,suburban,male,yes,20,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,political science
5111,5.2,33,191,249,NA,university degree,rural,female,yes,58,left,other,heterosexual,white or indigenous australian or native american,no,currently married,5,TRUE,interior design; civil engineering
5112,5.05,73,384,145,NA,high school,suburban,male,yes,19,left,atheist,bisexual,white or indigenous australian or native american,no,never married,2,TRUE,computer game design
5113,4.95,13,137,98,NA,university degree,suburban,male,yes,26,left,jewish,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,international relations
5114,4.7,44,118,106,NA,university degree,rural,male,yes,39,left,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,natural science
5115,4.75,1653,264,187,NA,high school,suburban,female,yes,18,right,atheist,bisexual,white or indigenous australian or native american,no,never married,1,TRUE,biology
5116,4.9,16,268,256,NA,graduate degree,rural,female,yes,29,both,agnostic,asexual,white or indigenous australian or native american,yes,currently married,2,TRUE,biology
5117,5.45,12,196,128,NA,graduate degree,rural,male,yes,44,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,theology
5118,5.1,16,252,216,NA,graduate degree,rural,male,yes,66,right,atheist,bisexual,white or indigenous australian or native american,yes,currently married,3,TRUE,history
5119,4.95,21,174,104,NA,high school,suburban,male,yes,18,right,christian (protestant),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
5120,5.05,2,200,87,NA,high school,suburban,female,yes,15,right,atheist,asexual,white or indigenous australian or native american,no,never married,2,TRUE,NA
5121,4.6,5416,205,162,NA,university degree,urban,female,no,28,right,other,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,psychology
5122,5.35,41,197,159,NA,graduate degree,suburban,male,no,60,right,christian (protestant),heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,sociology
5123,4.9,92,205,142,NA,graduate degree,urban,female,no,26,right,NA,NA,white or indigenous australian or native american,no,never married,1,TRUE,NA
5124,5,25,368,123,NA,graduate degree,urban,female,no,26,left,agnostic,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,economics
5125,5.55,12,148,152,NA,graduate degree,rural,female,yes,63,right,other,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,english
5126,4.9,2,219,519,NA,university degree,rural,male,yes,38,left,atheist,bisexual,white or indigenous australian or native american,no,currently married,2,TRUE,english
5127,5.05,3,303,218,NA,graduate degree,suburban,female,yes,58,right,agnostic,bisexual,white or indigenous australian or native american,yes,previously married,2,TRUE,english
5128,5.05,25,214,166,NA,high school,suburban,male,no,24,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,3,TRUE,NA
5129,5.3,22,3763,135,NA,university degree,rural,male,no,28,right,atheist,heterosexual,white or indigenous australian or native american,yes,never married,4,TRUE,archaeology
5130,4.8,27,202,98,NA,university degree,suburban,female,no,23,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,mechanical engineering
5131,5.9,6,270,165,NA,graduate degree,suburban,male,no,28,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,statistics
5132,5.2,22,619,211,NA,graduate degree,suburban,male,yes,74,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,3,TRUE,philosophy
5133,5.1,11,257,198,NA,university degree,urban,male,no,31,left,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,chinese
5134,4.95,3,125,182,NA,graduate degree,suburban,male,yes,41,left,atheist,homosexual,white or indigenous australian or native american,no,never married,3,TRUE,journalism
5135,4.35,174,193,148,NA,graduate degree,urban,male,no,27,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,business
5136,5.2,2,184,123,NA,graduate degree,suburban,male,yes,29,right,atheist,homosexual,white or indigenous australian or native american,no,never married,2,TRUE,biology
5137,5.25,402,159,72,NA,university degree,urban,male,no,25,right,atheist,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,physics
5138,4.75,567,207,87,NA,high school,rural,male,no,30,both,atheist,bisexual,white or indigenous australian or native american,no,never married,3,TRUE,linguistics
5139,5,410,678,297,NA,graduate degree,urban,male,yes,73,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,3,TRUE,accounting
5140,5.1,20,536,424,NA,graduate degree,suburban,male,yes,73,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,1,TRUE,biology
5141,4.75,19,148,94,NA,graduate degree,suburban,male,yes,46,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,NA
5142,4.95,16,272,199,NA,university degree,suburban,female,yes,26,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,fine art
5143,4.75,22,218,145,NA,graduate degree,suburban,female,yes,66,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,biology
5144,5.25,14,232,109,NA,graduate degree,suburban,male,yes,49,right,agnostic,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,economics
5145,5.3,3,149,136,NA,graduate degree,suburban,male,yes,31,right,jewish,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,history
5146,4.85,31,254,172,NA,university degree,urban,female,yes,28,right,agnostic,bisexual,white or indigenous australian or native american,yes,never married,2,TRUE,illustration
5147,5.2,48,285,214,NA,university degree,urban,male,yes,63,right,atheist,heterosexual,white or indigenous australian or native american,no,previously married,3,TRUE,economics
5148,4.9,3,88,110,NA,university degree,urban,male,yes,35,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,4,TRUE,computer science & history
5149,5.35,2,152,108,NA,graduate degree,urban,male,yes,30,right,jewish,heterosexual,white or indigenous australian or native american,yes,never married,2,TRUE,systems engineering
5150,4.35,4,173,136,NA,less than high school,rural,other,no,38,right,other,other,white or indigenous australian or native american,no,never married,2,TRUE,NA
5151,5.15,12,170,229,NA,graduate degree,rural,male,yes,57,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,history
5152,5.75,339,283,138,NA,graduate degree,rural,male,yes,32,right,christian (other),heterosexual,white or indigenous australian or native american,no,currently married,4,TRUE,clinical psychology psyd
5153,5.35,6,268,198,NA,university degree,rural,female,yes,35,both,atheist,heterosexual,white or indigenous australian or native american,no,currently married,1,TRUE,biology
5154,5.2,3,154,128,NA,graduate degree,rural,male,yes,53,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,history
5155,4.35,2,129,116,NA,graduate degree,suburban,male,yes,60,right,christian (catholic),heterosexual,white or indigenous australian or native american,yes,currently married,4,TRUE,NA
5156,5.2,21,282,193,NA,high school,suburban,male,no,18,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
5157,5.85,30,177,229,NA,university degree,suburban,other,yes,58,right,atheist,homosexual,white or indigenous australian or native american,no,currently married,4,TRUE,"physics, psychology, very strong minor in bio"
5158,5.2,33,308,213,NA,graduate degree,rural,female,yes,38,right,agnostic,heterosexual,white or indigenous australian or native american,yes,previously married,2,TRUE,NA
5159,5.35,15,375,177,NA,graduate degree,rural,male,yes,30,right,christian (mormon),heterosexual,white or indigenous australian or native american,no,currently married,8,TRUE,psychology
5160,4.6,29,182,133,NA,graduate degree,suburban,male,yes,31,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,filmmaking
5161,4.8,10,406,321,NA,university degree,urban,female,yes,59,right,other,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,landscape architecture and science
5162,4.7,37,219,187,NA,university degree,suburban,female,yes,31,right,atheist,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,journalism
5163,4.95,4,141,177,NA,university degree,suburban,male,yes,34,right,atheist,homosexual,white or indigenous australian or native american,no,never married,4,TRUE,anthropology
5164,4.8,21,387,185,NA,less than high school,urban,female,yes,16,right,christian (other),heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,NA
5165,5,31,201,397,NA,graduate degree,urban,male,yes,42,right,atheist,heterosexual,white or indigenous australian or native american,NA,currently married,4,TRUE,english
5166,5.15,2,177,126,NA,graduate degree,suburban,male,yes,35,right,atheist,heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,anthropology
5167,5.95,6,200,184,NA,high school,rural,male,yes,20,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,2,TRUE,computer science
5168,4.05,21,260,110,NA,high school,urban,male,yes,23,right,christian (other),heterosexual,white or indigenous australian or native american,yes,never married,1,TRUE,NA
5169,8.95,2,75,148,NA,university degree,urban,male,no,52,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,5,TRUE,geology
5170,4.4,137,229,118,NA,university degree,urban,male,yes,39,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,NA
5171,5,10,142,155,NA,graduate degree,urban,female,yes,57,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,5,TRUE,dramatic literature
5172,4.95,462,787,108,NA,university degree,suburban,male,yes,31,right,agnostic,heterosexual,white or indigenous australian or native american,no,never married,3,TRUE,computer science
5173,5.05,6,214,199,NA,graduate degree,suburban,male,yes,43,right,christian (catholic),heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,english
5174,4.6,2,214,161,NA,graduate degree,suburban,male,yes,29,right,agnostic,homosexual,white or indigenous australian or native american,yes,never married,3,TRUE,music
5175,3.65,12,349,218,NA,university degree,rural,male,yes,27,both,atheist,heterosexual,white or indigenous australian or native american,no,currently married,2,TRUE,accounting
5176,4.35,431,175,117,NA,university degree,suburban,female,yes,49,right,agnostic,heterosexual,white or indigenous australian or native american,yes,currently married,0,TRUE,geology
5177,4.25,9,369,205,NA,university degree,suburban,male,yes,36,right,christian (other),heterosexual,white or indigenous australian or native american,yes,currently married,2,TRUE,film
5178,5.05,29,238,193,NA,university degree,rural,male,yes,49,right,christian (mormon),NA,white or indigenous australian or native american,no,currently married,5,TRUE,dual chinese/history
5179,4.65,9,120,72,NA,university degree,urban,male,no,45,right,agnostic,other,white or indigenous australian or native american,yes,never married,2,TRUE,philosophy
